ID	DiseaseName	DiseaseID	AltDiseaseIDs	Synonyms
/d/00054	2-hydroxyethyl methacrylate sensitization	MESH:C535305	na	Sensitization to 2-hydroxyethyl methacrylate
/d/00055	2-Hydroxyglutaricaciduria	MESH:C535306	OMIM:236792|OMIM:600721|OMIM:613657|OMIM:615182	2-Hga|2-Hydroxyglutaric Aciduria|Combined D-2- and L-2-hydroxyglutaric aciduria|D2HGA|D2HGA1|D2HGA2|D-2-hydroxyglutaric aciduria|D-2-HYDROXYGLUTARIC ACIDURIA 1|D-2-HYDROXYGLUTARIC ACIDURIA 2|D2L2AD|L2HGA|L-2-Hydroxyglutaric Acidemia|L-2-hydroxyglutaric aciduria
/d/00056	2-Methylacetoacetyl CoA thiolase deficiency	MESH:C535307	na	na
/d/00057	2-Methylbutyryl-CoA Dehydrogenase Deficiency	MESH:C566487	OMIM:610006	2-MBCD Deficiency|2-Methylbutyryl-Coenzyme A Dehydrogenase Deficiency|2-Methylbutyryl Glycinuria|SBCADD|Short-Branched-Chain Acyl-CoA Dehydrogenase Deficiency|SHORT/BRANCHED-CHAIN ACYL-CoA DEHYDROGENASE DEFICIENCY
/d/00070	3b-Hydroxysteroid Dehydrogenase Deficiency	MESH:C579862	na	3beta-Hsd Deficiency|3 Beta-Hsd Deficiency|3beta-Hsd Deficiency Congenital Adrenal Hyperplasia|3beta-Hydroxysteroid Dehydrogenase Deficiency|3-Beta Hydroxysteroid Dehydrogenase Deficiency|3 beta-ol Dehydrogenase Deficiency|Type II 3beta-Hydroxysteroid Dehydrogenase Deficiency
/d/15735	3C syndrome	MESH:C535313	DO:DOID:0060565|OMIM:220210|OMIM:300963	3C SYNDROME|CCC dysplasia|Craniocerebellocardiac dysplasia|Dandy-Walker-like malformation with atrioventricular septal defect|Ritscher Schinzel syndrome|Ritscher-Schinzel Syndrome|RITSCHER-SCHINZEL SYNDROME 1|RITSCHER-SCHINZEL SYNDROME 2|RTSC1|RTSC2
/d/00075	3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency	MESH:C538324	OMIM:246450	3-Hydroxy-3-Methylglutaric Aciduria|3-Hydroxy 3-Methyl Glutaric Aciduria|3-Hydroxy-3-Methylglutaryl-Coenzyme A Lyase Deficiency|3-Hydroxyl 3-Methyl Glutaric Aciduria|Deficiency of Hydroxymethylglutaryl-CoA Lyase|HL DEFICIENCY|HMGCLD|HMGCL DEFICIENCY|HMG CoA Lyase Deficiency|HMG-CoA Lyase Deficiency|Hydroxymethylglutaric Aciduria
/d/08436	3-Hydroxy-3-Methylglutaryl-CoA Synthase 2 Deficiency	MESH:C567784	OMIM:605911	3-HYDROXY-3-METHYLGLUTARYL-CoA SYNTHASE-2 DEFICIENCY|HMGCS2D|HMGCS2 Deficiency|Mitochondrial HMG-CoA Synthase Deficiency
/d/00067	3-Hydroxyacyl-CoA Dehydrogenase Deficiency	MESH:C535310	OMIM:231530	3-Alpha-Hydroxyacyl-Coenzyme A Dehydrogenase Deficiency|3-Hydroxyacyl-Coenzyme A Dehydrogenase Deficiency|HAD Deficiency|HADH Deficiency|HADHSC Deficiency|L-3-Alpha-Hydroxyacyl-CoA Dehydrogenase, Short Chain, Deficiency|M-SCHAD Deficiency|SCHAD Deficiency|SCHAD DEFICIENCY, FORMERLY
/d/00074	3-Hydroxyisobutyric aciduria	MESH:C535312	na	na
/d/00076	3-methylcrotonyl CoA carboxylase 1 deficiency	MESH:C535308	OMIM:210200	3 alpha methylcrotonylglycinuria 1|3-Mcc Deficiency|3-METHYLCROTONYL-CoA CARBOXYLASE 1 DEFICIENCY|3-Methylcrotonyl-Coa Carboxylase Deficiency|3 Methylcrotonyl-CoA carboxylase deficiency|3-Methylcrotonyl-Coenzyme A Carboxylase Deficiency|3 Methylcrotonylglycinuria|3-Methylcrotonylglycinuria|3-Methylcrotonylglycinuria I|Bmcc Deficiency|Deficiency of Methylcrotonoyl-Coa Carboxylase|MCC1D|MCC1 Deficiency|Mcc Deficiency|MCCD Type 1|methylcrotonoyl-CoA carboxylase 1 deficiency|Methylcrotonyl-Coa Carboxylase Deficiency|Methylcrotonylglycinuria Type I
/d/00068	3-methylcrotonyl CoA carboxylase 2 deficiency	MESH:C535309	OMIM:210210	3 alpha methylcrotonyl-coa carboxylase 2 deficiency|3 alpha methylcrotonylglycinuria 2|3-Methylcrotonyl-CoA Carboxylase 2 Deficiency|3-Methylcrotonylglycinuria II|MCC2D|MCC2 Deficiency|methylcrotonoyl-CoA carboxylase 2 deficiency|Methylcrotonylglycinuria type 2|Methylcrotonylglycinuria, Type II
/d/00079	3-Methylglutaconic Aciduria	MESH:C579867	DO:DOID:0060336	3mga (3-Methylglutaconic Aciduria)
/d/00082	3-Methylglutaconic Aciduria, Type I	MESH:C562801	OMIM:250950	3-Methylglutaconyl-CoA Hydratase Deficiency|3-Mg-CoA-Hydratase Deficiency|MGA1|MGA, Type I|MGCA1
/d/00081	3-Methylglutaconic Aciduria Type IV	MESH:C565393	na	MGA4|MGA Type IV
/d/00084	3-Methylglutaconic Aciduria, Type V	MESH:C565706	OMIM:610198	Cardiomyopathy, Dilated, with Ataxia|DCMA|MGA5|MGA, Type V|MGCA5
/d/00083	3-METHYLGLUTACONIC ACIDURIA WITH CATARACTS, NEUROLOGIC INVOLVEMENT, AND NEUTROPENIA	OMIM:616271	DO:DOID:0110003	3-METHYLGLUTACONIC ACIDURIA, TYPE VII|MEGCANN|MGCA7
/d/00085	3-METHYLGLUTACONIC ACIDURIA WITH DEAFNESS, ENCEPHALOPATHY, AND LEIGH-LIKE SYNDROME	OMIM:614739	DO:DOID:0110001	3-METHYLGLUTACONIC ACIDURIA, TYPE VI|MEGDEL|MGCA6
/d/00094	46,XX Gonadal dysgenesis epibulbar dermoid	MESH:C535316	na	na
/d/17050	46,Xx Gonadal Dysgenesis, Partial Or Complete, Autosomal	MESH:C567597	na	Xx Male Syndrome, Sry-Negative
/d/00095	46,XX SEX REVERSAL 1	OMIM:400045	DO:DOID:14450	46,XX GONADAL DYSGENESIS, COMPLETE, SRY-POSITIVE 46,XX TRUE HERMAPHRODITISM, SRY-POSITIVE, INCLUDED|46,XX SEX REVERSAL, SRY-POSITIVE|46,XX TESTICULAR DISORDER OF SEX DEVELOPMENT|OVOTESTICULAR DISORDER OF SEX DEVELOPMENT, INCLUDED|OVOTESTICULAR DSD, INCLUDED|SRXX1|XX MALE, SRY-POSITIVE
/d/16162	46,XX SEX REVERSAL WITH DYSGENESIS OF KIDNEYS, ADRENALS, AND LUNGS	OMIM:611812	DO:DOID:14450	SERKAL|SERKAL SYNDROME
/d/00096	46, XX Testicular Disorders of Sex Development	MESH:D058531	na	46, XX Gonadal Sex Reversal|46, XX Testicular Disorder of Sex Development|46, XX Testicular DSD|Gonadal Sex Reversal, 46, XX|Reversals, XX Sex|Reversal, XX Sex|Sex Reversal, Gonadal, 46, XX|Sex Reversals, XX|Sex Reversal, XX|Syndromes, XX Male|Syndrome, XX Male|XX Male Syndrome|XX Male Syndromes|XX Sex Reversal|XX Sex Reversals
/d/00103	46, XY Disorders of Sex Development	MESH:D058490	OMIM:612965	46,XY Disorders of Sex Development|46, XY DSD|46,XY DSD|46,XY DSDs|46,XY Gonadal Dysgenesis, Complete or Partial, With or Without Adrenal Failure|46,XY GONADAL DYSGENESIS, PARTIAL OR COMPLETE, WITH OR WITHOUT ADRENAL FAILURE|46,XY Sex Reversal 3|46,XY Sex Reversal, Partial or Complete, NR5A1-Related|Disorder of Sex Development, 46,XY|DISORDER OF SEX DEVELOPMENT, 46,XY, NR5A1-RELATED|DSD, 46,XY|DSDs, 46,XY|Male Pseudohermaphroditism|Male Pseudohermaphroditisms|Pseudohermaphroditism, Male|Pseudohermaphroditisms, Male|Sex Reversal, XY, With Or Without Adrenal Failure|SRXY3
/d/00110	46, XY female	MESH:C536769	na	XY Female
/d/00106	46,XY Gonadal Dysgenesis, Complete or Partial, DHH-Related	MESH:C565537	OMIM:233420	46,XY GONADAL DYSGENESIS, PARTIAL OR COMPLETE, DHH-RELATED|46,XY SEX REVERSAL 7|46,XY SEX REVERSAL, PARTIAL OR COMPLETE, DHH-RELATED|GDXYM|Gonadal Dysgenesis, XY, Male Limited|GONADAL DYSGENESIS, XY, MALE-LIMITED|SRXY7
/d/00111	46,Xy Gonadal Dysgenesis, Complete, Sry-Related	MESH:C567574	na	Gonadal Dysgenesis, Xy Female Type
/d/00100	46,Xy Gonadal Dysgenesis, Partial, With Minifascicular Neuropathy	MESH:C567773	OMIM:607080	na
/d/00101	46,XY SEX REVERSAL 1	OMIM:400044	DO:DOID:14448	46,XY GONADAL DYSGENESIS, COMPLETE, SRY-RELATED 46,XY TRUE HERMAPHRODITISM, SRY-RELATED, INCLUDED|46,XY SEX REVERSAL, SRY-RELATED|SEX-REVERSING LOCUS ON X, FORMERLY, INCLUDED;SRVX, FORMERLY, INCLUDED|SRXY1|TESTIS-DETERMINING FACTOR, X-CHROMOSOMAL, FORMERLY, INCLUDED;TDFX, FORMERLY, INCLUDED
/d/00104	46, XY Sex Reversal 5	MESH:C567766	OMIM:613080	46,Xy Gonadal Dysgenesis, Complete, Cbx2-Related|46,XY SEX REVERSAL 5|46,XY SEX REVERSAL, CBX2-RELATED|Disorder Of Sex Development, 46,Xy, Cbx2-Related|Sex Reversal, Xy, Cbx2-Related|SRXY5
/d/00105	46,XY SEX REVERSAL 6	OMIM:613762	DO:DOID:14448	46,XY GONADAL DYSGENESIS, PARTIAL OR COMPLETE, MAP3K1-RELATED|46,XY SEX REVERSAL, PARTIAL OR COMPLETE, MAP3K1-RELATED|SRXY6
/d/00108	46,XY SEX REVERSAL 9	OMIM:616067	DO:DOID:14448	46,XY SEX REVERSAL, ZFPM2-RELATED|SRXY9
/d/00112	47, XYY syndrome	MESH:C535317	na	47 XYY syndrome|Jacob's syndrome|XYY syndrome|YY syndrome
/d/00118	49,XXXXX syndrome	MESH:C535319	na	Chromosome X pentasomy|Chromosome XXXXX syndrome|Pentasomy X|Pentasomy X syndrome|Penta-X syndrome
/d/00121	4-hydroxyphenylacetic aciduria	MESH:C535315	na	na
/d/00127	5-Nucleotidase syndrome	MESH:C535321	na	5'-Nucleotidase syndrome
/d/00128	5-oxoprolinase deficiency	MESH:C535322	OMIM:260005	5-alpha-oxoprolinase deficiency|OPLAHD|Oxoprolinuria due to 5-oxoprolinase deficiency|Oxoprolinuria Due To Oxoprolinase Deficiency
/d/08699	6-pyruvoyl-tetrahydropterin synthase deficiency	MESH:C535325	DO:DOID:0090106|OMIM:261640	6-PYRUVOYL-TETRAHYDROPTERIN SYNTHASE DEFICIENCY|HPABH4A|HYPERPHENYLALANINEMIA, BH4-DEFICIENT, A|Hyperphenylalaninemia, BH4-Deficient, Type A|Hyperphenylalaninemia due to 6-pyruvoyltetrahydropterin synthase deficiency|Hyperphenylalaninemia, Tetrahydrobiopterin-Deficient, Due To PTS Deficiency|PTS Deficiency|PTS DEFICIENCY  HYPERPHENYLALANINEMIA, BH4-DEFICIENT, DUE TO PARTIAL PTS DEFICIENCY, INCLUDED
/d/05560	6q24-Related Transient Neonatal Diabetes Mellitus	MESH:C579872	na	6q24-Tndm|Tndm Type 1
/d/00143	9q22.3 Microdeletion	MESH:C579873	na	9q22.3 Deletion|9q22 Deletion Syndrome|Microdeletion 9q22.3 Syndrome
/d/03568	Aagenaes syndrome	MESH:C535330	DO:DOID:6691|OMIM:214900	AAGENAES SYNDROME|CHLS|Cholestasis lymphedema syndrome|Cholestasis-Lymphedema Syndrome|LCS|LCS1|Lymphedema - cholestasis syndrome|Lymphedema-Cholestasis Syndrome
/d/00149	Aarskog Syndrome	MESH:C535331	DO:DOID:6683|OMIM:305400	Aarskog Disease|Aarskog-Like Syndrome|Aarskog-Scott Syndrome|AARSKOG SYNDROME, X-LINKED  FACIOGENITAL DYSPLASIA WITH ATTENTION DEFICIT-HYPERACTIVITY DISORDER, INCLUDED|AAS|Facio-Digito-Genital Dysplasia|Faciodigitogenital Syndrome|Faciodigitogenital Syndrome, Recessive|Faciogenital Dysplasia|FGDY|Kuwait Type Faciodigitogenital Syndrome|MENTAL RETARDATION, X-LINKED, SYNDROMIC 16, INCLUDED|MRXS16, INCLUDED|Scott Aarskog Syndrome
/d/00150	Aase Smith syndrome	MESH:C535332	na	Aase-Smith Syndrome I|Hydrocephalus cleft palate joint contractures|Joint contractures with other abnormalities
/d/05607	Aase Smith syndrome 2	MESH:C538442	na	Aase-Smith Syndrome II|Aase syndrome|Anemia and triphalangeal thumbs|Anemia congenital erythroid hypoplastic|Anemia, Congenital Erythroid Hypoplastic|Aregenerative anemia, chronic congenital|Congenital anemia and triphalangeal thumbs|Diamond-Blackfan Anemia 6|Hypoplastic anemia-triphalangeal thumbs, Aase-Smith type
/d/00168	ABCD syndrome	MESH:C535334	OMIM:600501	ABCDS|Albinism, Black lock, Cell migration disorder of the neurocytes of the gut, and Deafness
/d/00169	Abderhalden-Kaufmann-Lignac syndrome	MESH:C535335	na	Abderhalden Kaufmann Lignac syndrome|Abderhalden-Lignac-Kaufmann disease
/d/00171	Abdominal chemodectomas with cutaneous angiolipomas	MESH:C535552	na	Chemodectoma, Intraabdominal, with Cutaneous Angiolipomas|Familial abdominal chemodectomas with cutaneous angiolipomas
/d/00172	Abdominal cystic lymphangioma	MESH:C535553	na	Abdominal retroperitoneal lymphangioma|Retroperitoneal cystic lymphangioma
/d/00173	Abdominal obesity metabolic syndrome	MESH:C535554	na	Abdominal Obesity-Metabolic Syndrome
/d/00173	ABDOMINAL OBESITY-METABOLIC SYNDROME 1	OMIM:605552	DO:DOID:14221	AOMS1|METABOLIC SYNDROME, PROTECTION AGAINST, INCLUDED|METABOLIC SYNDROME X ABDOMINAL OBESITY-METABOLIC SYNDROME QUANTITATIVE TRAIT LOCUS 1, INCLUDED
/d/00174	ABDOMINAL OBESITY-METABOLIC SYNDROME 3	OMIM:615812	DO:DOID:0060612	AOMS3|CENTRAL OBESITY, TYPE 2 DIABETES, HYPERTENSION, AND EARLY-ONSET CORONARY ARTERY DISEASE
/d/00177	Abducens Nerve Diseases	MESH:D020434	DO:DOID:10865	6th Nerve Palsies|6th Nerve Palsy|Abducens Nerve Disease|Abducens Nerve Palsies|Abducens Nerve Palsy|Abducens Palsy, Childhood, Benign Recurrent|Benign Recurrent Abducens Palsy, Children|Benign Recurrent Abducens Palsy of Childhood|Cranial Nerve VI Diseases|Cranial Nerve VI Palsy|Lateral Rectus Palsies|Lateral Rectus Palsy|Nerve Palsies, 6th|Nerve Palsies, VI|Nerve Palsy, 6th|Nerve Palsy, VI|Palsies, 6th Nerve|Palsies, Abducens Nerve|Palsies, Lateral Rectus|Palsies, Sixth Nerve|Palsies, VI Nerve|Palsy, 6th Nerve|Palsy, Abducens Nerve|Palsy, Lateral Rectus|Palsy, Sixth Nerve|Palsy, VI Nerve|Sixth Cranial Nerve Diseases|Sixth Cranial Nerve Disorders|Sixth Cranial Nerve Palsy|Sixth Nerve Palsies|Sixth Nerve Palsy|VI Nerve Palsy|VIth Cranial Nerve Diseases
/d/00179	Abducens Palsy	MESH:C564661	na	na
/d/00180	Aberrant subclavian artery	MESH:C535555	na	Aberrant left subclavian artery|Aberrant right subclavian artery
/d/00181	Abetalipoproteinemia	MESH:D000012	DO:DOID:1386|OMIM:200100	ABL|Acanthocytoses|Acanthocytosis|Bassen Kornzweig Disease|Bassen-Kornzweig Disease|Bassen Kornzweig Syndrome|Bassen-Kornzweig Syndrome|Betalipoprotein Deficiency Disease|Betalipoprotein Deficiency Diseases|Deficiency Disease, Betalipoprotein|Deficiency Diseases, Betalipoprotein|Disease, Betalipoprotein Deficiency|Diseases, Betalipoprotein Deficiency|Microsomal Triglyceride Transfer Protein Deficiency|Microsomal Triglyceride Transfer Protein Deficiency Disease|MTP DEFICIENCY
/d/00181	Abetalipoproteinemia neuropathy	MESH:C540309	na	na
/d/00182	Abidi X-linked mental retardation syndrome	MESH:C535556	DO:DOID:0060818|OMIM:300262	Mental retardation X-linked, Abidi type|Mental Retardation, X-Linked, Abidi Type|MENTAL RETARDATION, X-LINKED, SYNDROMIC, ABIDI TYPE|MRXSAB|Short stature, small head circumference, sloping forehead, hearing loss, cupped ears and small testes
/d/00184	Ablepharon macrostomia syndrome	MESH:C535557	DO:DOID:0060550|OMIM:200110	Ablepharon-Macrostomia Syndrome|AMS
/d/17824	Abnormal fusion of dental cementum with alveolar bone	MESH:C536375	na	Molar I reinclusion|Secondary retention of permanent molars
/d/00937	Abnormalities, Multiple	MESH:D000015	na	Multiple Abnormalities
/d/14658	Abortion, Habitual	MESH:D000026	na	Abortion, Recurrent|Abortions, Habitual|Abortions, Recurrent|Habitual Abortion|Habitual Abortions|Miscarriage, Recurrent|Miscarriages, Recurrent|Recurrent Abortion|Recurrent Abortions|Recurrent Miscarriage|Recurrent Miscarriages
/d/00190	Abrikosov's tumor	MESH:C535558	na	Abrikosoff's granulous cell tumor|Abrikosoff's tumor|Giant granulo-cellular Abrikosov's tumor|Malignant variant of Abrikosov's tumor
/d/14299	Abruptio Placentae	MESH:D000037	na	Abruption, Placental|Abruptions, Placental|Placental Abruption|Placental Abruptions
/d/00191	Abruzzo Erickson syndrome	MESH:C535559	OMIM:302905	ABERS|Abruzzo-Erickson Syndrome|Charge-Like Syndrome, X-Linked|CHARGE like syndrome, X linked
/d/00195	Absence of septum pellucidum	MESH:C535562	na	na
/d/17731	Absence of Tibia	MESH:C535563	OMIM:275220	Bilateral absence of the tibia|THM|Tibia, absence of|Tibial hemimelia
/d/00197	Absence of tibia with polydactyly	MESH:C535564	OMIM:188740	Polydactyly with absent tibia|THYP|Tibia, Absence of, with Polydactyly|TIBIA, HYPOPLASIA OR APLASIA OF, WITH POLYDACTYLY|TIBIAL HEMIMELIA-POLYDACTYLY-TRIPHALANGEAL THUMBS WITH FIBULAR DIMELIA
/d/00198	Absent breasts and nipples	MESH:C535565	na	Athelia|Complete absence of breasts
/d/18528	Absent corpus callosum cataract immunodeficiency	MESH:C535566	DO:DOID:0060356|OMIM:242840	IMMUNODEFICIENCY WITH CLEFT LIP/PALATE, CATARACT, HYPOPIGMENTATION, AND ABSENT CORPUS CALLOSUM|VICIS|Vici syndrome
/d/00199	Absent Eyebrows and Eyelashes with Mental Retardation	MESH:C563111	na	Pseudoprogeria Syndrome
/d/00200	Absent patella	MESH:C535568	OMIM:168860	Familial absence of the patella|Familial aplasia of the patella|Patella aplasia-hypoplasia|PTLAH
/d/17615	Absent radii and thrombocytopenia	MESH:C536940	DO:DOID:14699|OMIM:274000	Chromosome 1q21.1 Deletion Syndrome, 200-Kb|Radial Aplasia-Amegakaryocytic Thrombocytopenia|Radial Aplasia-Thrombocytopenia Syndrome|TAR|TAR Syndrome|Thrombocytopenia Absent Radii|Thrombocytopenia absent radius syndrome|Thrombocytopenia-Absent Radius Syndrome
/d/15049	Abuse dwarfism syndrome	MESH:C535569	na	Child abuse dwarfism|Psychosocial dwarfism
/d/00201	Acalculous Cholecystitis	MESH:D042101	DO:DOID:2828	Acalculous Gallbladder Inflammation|Cholecystitis, Acalculous|Gallbladder Inflammation, Acalculous
/d/00202	Acalvaria	MESH:C535570	na	na
/d/00203	Acanthamoeba Keratitis	MESH:D015823	na	Acanthamoeba Keratitides|Keratitides, Acanthamoeba|Keratitis, Acanthamoeba
/d/00205	Acanthocheilonemiasis	MESH:D063485	na	Acanthocheilonemiases
/d/00209	Acanthoma	MESH:D049309	DO:DOID:172|DO:DOID:174|DO:DOID:4322	Acanthoma, Clear Cell|Acanthoma, Degos|Acanthoma, Pilar Sheath|Acanthomas|Acanthomas, Clear Cell|Acanthomas, Pilar Sheath|Clear Cell Acanthoma|Clear Cell Acanthomas|Degos Acanthoma|Pilar Sheath Acanthoma|Pilar Sheath Acanthomas
/d/00210	Acanthosis Nigricans	MESH:D000052	DO:DOID:3138	Acanthosis Nigrican|Nigrican, Acanthosis|Nigricans, Acanthosis
/d/00211	Acanthosis nigricans muscle cramps acral enlargement	MESH:C536000	na	Acanthosis Nigricans With Muscle Cramps And Acral Enlargement
/d/00213	Acatalasia	MESH:D020642	DO:DOID:2582|OMIM:614097	Acatalasemia|Acatalasemia Japanese Type|Acatalasemia Swiss Type|ACATALASIA|Catalase Deficiencies|Catalase Deficiency|Deficiencies, Catalase|Deficiency, Catalase|Disease, Takahara|Disease, Takahara's|Hypocatalasemia|Hypocatalasia|Japanese Type, Acatalasemia|Swiss Type, Acatalasemia|Takahara Disease|Takahara's Disease|Takaharas Disease
/d/00215	Accessory deep peroneal nerve	MESH:C536001	na	Peroneal nerve, accessory deep
/d/00217	Accessory navicular bone	MESH:C536002	na	Navicular Bone, Accessory
/d/00218	Accessory Nerve Diseases	MESH:D020436	DO:DOID:339	Accessory Nerve Disease|Cranial Nerve Eleven Diseases|Cranial Nerve Eleven Disorders|Cranial Nerve XI Diseases|Eleventh Cranial Nerve Disease|Spinal Accessory Nerve Diseases
/d/00219	Accessory pancreas	MESH:C536003	na	na
/d/07139	Accutane embryopathy	MESH:C535670	na	Accutane-exposed pregnancies|Isotretinoin embryopathy|Isotretinoin (RoAccutane) embryopathy
/d/00229	Acetyl-Coa Carboxylase Deficiency	MESH:C562678	OMIM:613933	ACACAD|ACACA Deficiency|ACC1 DEFICIENCY
/d/00231	Achalasia Addisonianism Alacrimia syndrome	MESH:C536008	OMIM:231550	AAAS|Aaa Syndrome|Achalasia-Addisonianism-Alacrima Syndrome|Achalasia-Addisonian Syndrome|Achalasia-Alacrima Syndrome|Achalasia alacrimia syndrome|Acth-Resistant Adrenal Insufficiency, Achalasia And Alacrima|ACTH resistant adrenal insufficiency, achalasia and alacrima|ACTH-RESISTANT ADRENAL INSUFFICIENCY, ACHALASIA AND ALACRIMA  ACHALASIA-ALACRIMA SYNDROME, INCLUDED|Addisonian achalasia syndrome|Addisonian-Achalasia Syndrome|Alacrima-Achalasia-Addisonianism|Alacrima-achalasia-adrenal insufficiency neurologic disorder|Allgrove syndrome|Glucocorticoid deficiency and achalasia|Hypoadrenalism with achalasia|Infantile achalasia with alacrima|Triple A syndrome|Triple-A Syndrome
/d/00232	Achalasia, familial esophageal	MESH:C536011	OMIM:200400	Familial esophageal achalasia
/d/00233	Achalasia microcephaly	MESH:C536010	DO:DOID:0050796	Achalasia microcephaly syndrome|Achalasia-Microcephaly Syndrome
/d/00234	Achard syndrome	MESH:C536012	DO:DOID:6686	Arachnodactyly, receding lower jaw, and joint laxity limited to the hands and feet|Dysostoses and increased ligament laxity
/d/00235	Achard-Thiers syndrome	MESH:C536013	na	Adenoma associated virilism of older women|Bearded female with diabetes|Diabetes in bearded women|Diabetic-bearded woman syndrome
/d/00239	Acheiropodia	MESH:C536014	OMIM:200500	ACHEIROPODIA|Acheiropody|Acheiropody, Brazilian type|ACHP|Brazilian type acheiropody
/d/14979	Acholinesterasemia	MESH:C566750	na	na
/d/00242	Achondrogenesis	MESH:C579878	na	Achondrogenesis Syndrome
/d/00244	Achondrogenesis type 1A	MESH:C536015	OMIM:200600	ACG1A|Achondrogenesis, Houston-Harris type|Achondrogenesis, Type Ia|Houston-Harris achondrogenesis
/d/00243	Achondrogenesis type 1B	MESH:C536016	OMIM:600972	ACG1B|Achondrogenesis, Fraccaro type|Achondrogenesis, Type Ib|Fraccaro achondrogenesis
/d/00245	Achondrogenesis type 2	MESH:C536017	OMIM:200610	ACG2|Achondrogenesis, Langer-Saldino type|ACHONDROGENESIS, TYPE IB, FORMERLY HYPOCHONDROGENESIS, INCLUDED|Achondrogenesis, Type II|Chondrogenesis imperfecta|Langer-Saldino achondrogenesis
/d/00246	Achondroplasia	MESH:D000130	DO:DOID:4480|OMIM:100800|OMIM:616482	ACH|Achondroplasias|Achondroplasia, Severe, With Developmental Delay And Acanthosis Nigricans|Dysplasia, SADDAN|Dysplasias, SADDAN|SADDAN|SADDAN Dysplasia|SADDAN Dysplasias|SADDANs|Severe Achondroplasia with Developmental Delay and Acanthosis Nigricans|Skeleton Skin Brain Syndrome|Skeleton-Skin-Brain Syndrome|Skeleton-Skin-Brain Syndromes|Syndrome, Skeleton-Skin-Brain|Syndromes, Skeleton-Skin-Brain
/d/00248	Achondroplasia and Swiss type agammaglobulinemia	MESH:C536020	na	Agammaglobulinaemia and achondroplasia
/d/00246	Achondroplastic dwarfism	MESH:C531599	na	na
/d/00249	Achromatopsia 1	MESH:C536021	na	Rod monochromacy|Rod monochromatism
/d/00249	Achromatopsia 2	MESH:C536128	OMIM:216900	ACHM2|Colorblindness, Total|RMCH2|Rod monochromacy 2|Rod monochromatism 2|Total color blindness
